asset,tradingview ticker sample futures,tradingview ticker sample options,tradingview options nomenclature
all stocks,stock specific,stock specific,
ALUMINI,ALUMINI1!,not available,not available
ALUMINIUM,ALUMINIUM1!,not available,not available
BANKEX,BKX1!,BANKEX251216C26000,BANKEX YYMMDD C/P STRIKE
BANKNIFTY,BANKNIFTY1!,BANKNIFTY251216C26000,BANKNIFTY YYMMDD C/P STRIKE
CARDAMOM,CARDAMOM1!,not available,not available
COPPER,COPPER1!,COPPER251223P875,COPPER YYMMDD C/P STRIKE
COTTON,COTTON1!,not available,not available
COTTONOIL,COTTONOIL1!,not available,not available
CRUDEOIL,CRUDEOIL1!,CRUDEOIL251223P875,CRUDEOIL YYMMDD C/P STRIKE
CRUDEOILM,CRUDEOILM1!,CRUDEOILM251223P875,CRUDEOILM YYMMDD C/P STRIKE
ELECDMBL,ELECDMBL1!,not available,not available
FINNIFTY,FINNIFTY1!,FINNIFTY251216P26000,FINNIFTY YYMMDD C/P STRIKE
GOLD,GOLD1!,GOLD251223C100100,GOLD YYMMDD C/P STRIKE
GOLDGUINEA,GOLDGUINEA1!,not available,not available
GOLDM,GOLDM1!,GOLDM251223C100100,GOLDM YYMMDD C/P STRIKE
GOLDPETAL,GOLDPETAL1!,not available,not available
GOLDTEN,GOLDTEN1!,not available,not available
LEAD,LEAD1!,not available,not available
LEADMINI,LEADMINI1!,not available,not available
MCXBULLDEX,MCXBULLDEX1!,MCXBULLDEX251223C100100,MCXBULLDEX YYMMDD C/P STRIKE
MCXMETLDEX,MCXMETLDEX1!,not available,not available
MENTHAOIL,MENTHAOIL1!,not available,not available
MIDCPNIFTY,MIDCPNIFTY1!,MIDCPNIFTY251223C10100,MIDCPNIFTY YYMMDD C/P STRIKE
NATGASMINI,NATGASMINI1!,NATGASMINI251223P475,NATGASMINI YYMMDD C/P STRIKE
NATURALGAS,NATURALGAS1!,NATURALGAS251223P475,NATURALGAS YYMMDD C/P STRIKE
NIFTY,NIFTY1!,NIFTY251216C26000,NIFTY YYMMDD C/P STRIKE
NIFTYNXT50,NIFTYNXT501!,NIFTYNXT50251216C100000,NIFTYNXT50 YYMMDD C/P STRIKE
SENSEX,BSX1!,BSX251216P80000,BSX YYMMDD C/P STRIKE
SENSEX50,SX501!,not available,not available
SILVER,SILVER1!,SILVER251223C130100,SILVER YYMMDD C/P STRIKE
SILVERM,SILVERM1!,SILVERM251223C130100,SILVERM YYMMDD C/P STRIKE
STEELREBAR,STEELREBAR1!,not available,not available
ZINC,ZINC1!,ZINC251223P275.5,ZINC YYMMDD C/P STRIKE
ZINCMINI,ZINCMINI1!,not available,not available
